symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,0,1360,0,1360,0.00
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,0,5950,0,5950,0.00
BOABF,BANK OF AFRICA BURKINA FASO,0,5195,0,5195,0.00
BOAC,BANK OF AFRICA COTE D'IVOIRE,0,3700,0,3700,0.00
BOAM,BANK OF AFRICA MALI,0,1355,0,1355,0.00
BOAN,BANK OF AFRICA NIGER,0,5600,0,5600,0.00
BOAS,BANK OF AFRICA SENEGAL,0,2395,0,2395,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,0,8485,0,8485,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,0,930,0,930,0.00
CIEC,CIE COTE D'IVOIRE,0,1800,0,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,0,4695,0,4695,0.00
ETIT,Ecobank Transnational Incorporated TOGO,0,19,0,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,0,1185,0,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,0,710,0,710,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,0,4560,0,4560,0.00
NTLC,NESTLE COTE D'IVOIRE,0,7300,0,7300,0.00
ONTBF,ONATEL BURKINA FASO,0,3210,0,3210,0.00
ORGT,ORAGROUP TOGO,0,2800,0,2800,0.00
PALC,PALM COTE D'IVOIRE,0,9750,0,9750,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,0,3000,0,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,0,890,0,890,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,0,900,0,900,0.00
SDCC,SODE COTE D'IVOIRE,0,4650,0,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,0,1240,0,1240,0.00
SEMC,CROWN SIEM COTE D'IVOIRE,0,640,0,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11600,0,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,0,700,0,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,0,4400,0,4400,0.00
SICC,SICOR COTE D'IVOIRE,0,6200,0,6200,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,0,700,0,700,0.00
SLBC,SOLIBRA COTE D'IVOIRE,0,90000,0,90000,0.00
SMBC,SMB COTE D'IVOIRE,0,6750,0,6750,0.00
SNTS,SONATEL SENEGAL,0,14650,0,14650,0.00
SOGC,SOGB COTE D'IVOIRE,0,5685,0,5685,0.00
SPHC,SAPH COTE D'IVOIRE,0,5200,0,5200,0.00
STAC,SETAO COTE D'IVOIRE,0,1140,0,1140,0.00
STBC,SITAB COTE D'IVOIRE,0,4960,0,4960,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,0,2100,0,2100,0.00
TTLS,TOTAL SENEGAL,0,2405,0,2405,0.00
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,0,800,0,800,0.00
