symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,247,1365,1460,1365,-6.83
BICC,BICI COTE D'IVOIRE,0,6385,0,6385,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,318,5700,5950,5700,-4.12
BOABF,BANK OF AFRICA BURKINA FASO,90,5200,5200,5200,0.00
BOAC,BANK OF AFRICA COTE D'IVOIRE,8522,3600,3700,3655,-1.22
BOAM,BANK OF AFRICA MALI,195,1355,1355,1355,0.00
BOAN,BANK OF AFRICA NIGER,96,5590,5500,5590,0.00
BOAS,BANK OF AFRICA SENEGAL,5888,2350,2400,2395,-1.03
CABC,SICABLE COTE D'IVOIRE,18880,1075,1000,1075,7.50
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,221,8200,8200,8200,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,4900,925,925,925,-2.12
CIEC,CIE COTE D'IVOIRE,1100,1715,1940,1715,-7.30
ECOC,ECOBANK COTE D'IVOIRE,475,4700,4600,4700,-1.67
ETIT,Ecobank Transnational Incorporated TOGO,275070,19,18,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,165,1110,1105,1105,-0.45
NEIC,NEI-CEDA COTE D'IVOIRE,0,715,0,715,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,729,4205,4205,4245,0.95
NTLC,NESTLE COTE D'IVOIRE,168,7390,7100,7390,2.64
ONTBF,ONATEL BURKINA FASO,954,3250,3350,3300,-1.49
ORGT,ORAGROUP TOGO,472,2850,2900,2850,-3.06
PALC,PALM COTE D'IVOIRE,1190,9700,9575,9750,0.52
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,7,3000,3000,3000,-5.96
SAFC,SAFCA COTE D'IVOIRE,0,890,0,890,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,227,905,905,905,0.00
SDCC,SODE COTE D'IVOIRE,426,4650,4530,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,4645,1205,1205,1200,-4.00
SEMC,CROWN SIEM COTE D'IVOIRE,75,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,44,11600,11500,11600,0.87
SHEC,VIVO ENERGY COTE D'IVOIRE,374,710,710,710,-7.19
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,7013,4310,4350,4270,-0.93
SICC,SICOR COTE D'IVOIRE,22,6665,6200,6665,7.50
SIVC,AIR LIQUIDE COTE D'IVOIRE,494,700,700,700,0.00
SLBC,SOLIBRA COTE D'IVOIRE,6,85000,85000,85000,0.00
SMBC,SMB COTE D'IVOIRE,217,6710,6700,6715,0.07
SNTS,SONATEL SENEGAL,819,14500,14600,14700,-0.34
SOGC,SOGB COTE D'IVOIRE,133,5650,5680,5600,-1.50
SPHC,SAPH COTE D'IVOIRE,1112,5300,4905,5300,0.00
STAC,SETAO COTE D'IVOIRE,49,1065,995,1065,7.04
STBC,SITAB COTE D'IVOIRE,392,5100,4950,5100,3.03
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,231,2175,2035,2175,-1.14
TTLS,TOTAL SENEGAL,114,2400,2500,2400,-4.00
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,2,7030,7030,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,455,850,850,835,-1.76
