symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,37,1460,1400,1460,7.35
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,1021,5900,5530,5900,-0.84
BOABF,BANK OF AFRICA BURKINA FASO,1508,5145,5005,5145,-0.96
BOAC,BANK OF AFRICA COTE D'IVOIRE,4620,3700,3595,3650,-1.35
BOAM,BANK OF AFRICA MALI,260,1355,1355,1350,-0.37
BOAN,BANK OF AFRICA NIGER,98,5600,5600,5600,0.00
BOAS,BANK OF AFRICA SENEGAL,151,2395,2395,2395,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,3236,8500,8485,8500,0.18
CFAC,CFAO MOTORS COTE D'IVOIRE,33,930,925,925,-0.54
CIEC,CIE COTE D'IVOIRE,1615,1800,1800,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,699,4800,4650,4800,2.24
ETIT,Ecobank Transnational Incorporated TOGO,83271,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,67,1185,1200,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,4354,725,710,725,2.11
NSBC,NSIA BANQUE COTE D'IVOIRE,271,4560,4560,4560,0.00
NTLC,NESTLE COTE D'IVOIRE,4776,7300,6900,7300,0.00
ONTBF,ONATEL BURKINA FASO,1043,3210,3210,3210,0.00
ORGT,ORAGROUP TOGO,0,2800,0,2800,0.00
PALC,PALM COTE D'IVOIRE,1237,9750,9750,9885,1.38
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,0,3000,0,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,7,890,885,885,-0.56
SCRC,SUCRIVOIRE COTE D'IVOIRE,23,950,950,950,5.56
SDCC,SODE COTE D'IVOIRE,52,4650,4600,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,15777,1275,1240,1275,2.82
SEMC,CROWN SIEM COTE D'IVOIRE,33,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,136,11600,11600,11595,-0.04
SHEC,VIVO ENERGY COTE D'IVOIRE,1440,675,710,670,-4.29
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,587,4350,4330,4330,-1.59
SICC,SICOR COTE D'IVOIRE,5,6200,6200,6200,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,20,750,750,750,7.14
SLBC,SOLIBRA COTE D'IVOIRE,0,90000,0,90000,0.00
SMBC,SMB COTE D'IVOIRE,1053,6750,6700,6700,-0.74
SNTS,SONATEL SENEGAL,1289,14650,14600,14595,-0.38
SOGC,SOGB COTE D'IVOIRE,40,5405,5685,5405,-4.93
SPHC,SAPH COTE D'IVOIRE,116,5200,5190,5250,0.96
STAC,SETAO COTE D'IVOIRE,74,1225,1145,1225,7.46
STBC,SITAB COTE D'IVOIRE,881,4960,5000,4960,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,120,2100,2090,2090,-0.48
TTLS,TOTAL SENEGAL,90,2500,2500,2500,3.95
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,6998,800,850,800,0.00
