symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,37,1460,1400,1460,7.35
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,100,2050,2050,2050,-2.38
BOAB,BANK OF AFRICA BENIN,1026,5900,5530,5900,-0.84
BOABF,BANK OF AFRICA BURKINA FASO,1508,5145,5005,5145,-0.96
BOAC,BANK OF AFRICA COTE D'IVOIRE,5825,3700,3595,3700,0.00
BOAM,BANK OF AFRICA MALI,272,1355,1355,1355,0.00
BOAN,BANK OF AFRICA NIGER,168,5600,5600,5500,-1.79
BOAS,BANK OF AFRICA SENEGAL,317,2395,2395,2400,0.21
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,3236,8500,8485,8500,0.18
CFAC,CFAO MOTORS COTE D'IVOIRE,2058,930,925,915,-1.61
CIEC,CIE COTE D'IVOIRE,2845,1800,1800,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,2644,4800,4650,4800,2.24
ETIT,Ecobank Transnational Incorporated TOGO,85416,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,67,1185,1200,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,4354,725,710,725,2.11
NSBC,NSIA BANQUE COTE D'IVOIRE,571,4750,4560,4750,4.17
NTLC,NESTLE COTE D'IVOIRE,4840,7300,6900,7300,0.00
ONTBF,ONATEL BURKINA FASO,1047,3300,3210,3300,2.80
ORGT,ORAGROUP TOGO,1,3010,3010,3010,7.50
PALC,PALM COTE D'IVOIRE,1294,9750,9750,9885,1.38
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1000,3000,2995,2940,-2.00
SAFC,SAFCA COTE D'IVOIRE,514,890,885,895,0.56
SCRC,SUCRIVOIRE COTE D'IVOIRE,123,910,950,910,1.11
SDCC,SODE COTE D'IVOIRE,155,4750,4600,4750,2.15
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,19365,1275,1240,1300,4.84
SEMC,CROWN SIEM COTE D'IVOIRE,970,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,138,11600,11600,11595,-0.04
SHEC,VIVO ENERGY COTE D'IVOIRE,1441,700,710,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1012,4350,4330,4400,0.00
SICC,SICOR COTE D'IVOIRE,7,6000,6200,6000,-3.23
SIVC,AIR LIQUIDE COTE D'IVOIRE,20,750,750,750,7.14
SLBC,SOLIBRA COTE D'IVOIRE,0,90000,0,90000,0.00
SMBC,SMB COTE D'IVOIRE,1095,6610,6700,6610,-2.07
SNTS,SONATEL SENEGAL,7536,14650,14600,14645,-0.03
SOGC,SOGB COTE D'IVOIRE,59,5685,5685,5685,0.00
SPHC,SAPH COTE D'IVOIRE,116,5200,5190,5250,0.96
STAC,SETAO COTE D'IVOIRE,1075,1220,1145,1220,7.02
STBC,SITAB COTE D'IVOIRE,935,5300,5000,5300,6.85
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,169,2100,2090,2100,0.00
TTLS,TOTAL SENEGAL,90,2500,2500,2500,3.95
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,8243,800,850,800,0.00
