symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,58,1460,1460,1460,0.00
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2050,0,2050,0.00
BOAB,BANK OF AFRICA BENIN,25,5900,5900,5900,0.00
BOABF,BANK OF AFRICA BURKINA FASO,12,5145,5100,5100,-0.87
BOAC,BANK OF AFRICA COTE D'IVOIRE,1399,3695,3695,3700,0.00
BOAM,BANK OF AFRICA MALI,0,1355,0,1355,0.00
BOAN,BANK OF AFRICA NIGER,50,5695,5695,5695,3.55
BOAS,BANK OF AFRICA SENEGAL,2,2400,2400,2400,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,0,8500,0,8500,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,0,915,0,915,0.00
CIEC,CIE COTE D'IVOIRE,1245,1800,1800,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,4397,4700,4605,4700,-2.08
ETIT,Ecobank Transnational Incorporated TOGO,12245,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,0,1185,0,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,0,725,0,725,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,187,4450,4450,4450,-6.32
NTLC,NESTLE COTE D'IVOIRE,0,7300,0,7300,0.00
ONTBF,ONATEL BURKINA FASO,131,3230,3300,3230,-2.12
ORGT,ORAGROUP TOGO,8,3130,3130,3070,1.99
PALC,PALM COTE D'IVOIRE,3500,9685,9800,9705,-1.82
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,20,2940,2940,2940,0.00
SAFC,SAFCA COTE D'IVOIRE,0,895,0,895,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,0,910,0,910,0.00
SDCC,SODE COTE D'IVOIRE,79,4750,4750,4750,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,901,1245,1270,1240,-4.62
SEMC,CROWN SIEM COTE D'IVOIRE,1000,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,764,11595,11595,11600,0.04
SHEC,VIVO ENERGY COTE D'IVOIRE,2,700,700,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,6480,4400,4395,4450,1.14
SICC,SICOR COTE D'IVOIRE,0,6000,0,6000,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,0,750,0,750,0.00
SLBC,SOLIBRA COTE D'IVOIRE,363,87120,87120,87120,-3.20
SMBC,SMB COTE D'IVOIRE,260,6610,6700,6700,1.36
SNTS,SONATEL SENEGAL,606,14645,14600,14645,0.00
SOGC,SOGB COTE D'IVOIRE,3328,5685,5700,5700,0.26
SPHC,SAPH COTE D'IVOIRE,0,5250,0,5250,0.00
STAC,SETAO COTE D'IVOIRE,3,1220,1220,1220,0.00
STBC,SITAB COTE D'IVOIRE,100,4960,4960,4960,-6.42
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,14,2100,2100,2100,0.00
TTLS,TOTAL SENEGAL,5082,2325,2325,2355,-5.80
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,825,800,800,800,0.00
