symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,14,1365,1360,1360,-0.37
BICC,BICI COTE D'IVOIRE,15,5910,5910,5910,-7.44
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,2365,5950,5700,5950,4.39
BOABF,BANK OF AFRICA BURKINA FASO,1602,5005,5200,5005,-3.75
BOAC,BANK OF AFRICA COTE D'IVOIRE,958,3655,3700,3700,1.23
BOAM,BANK OF AFRICA MALI,896,1355,1360,1355,0.00
BOAN,BANK OF AFRICA NIGER,64,5590,5500,5600,0.18
BOAS,BANK OF AFRICA SENEGAL,0,2395,0,2395,0.00
CABC,SICABLE COTE D'IVOIRE,6,1000,1000,1000,-6.98
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,89,8200,8200,8200,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,95,945,945,945,2.16
CIEC,CIE COTE D'IVOIRE,244,1800,1800,1800,4.96
ECOC,ECOBANK COTE D'IVOIRE,105,4600,4600,4600,-2.13
ETIT,Ecobank Transnational Incorporated TOGO,12400,19,18,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,381,1105,1080,1110,0.45
NEIC,NEI-CEDA COTE D'IVOIRE,800,665,665,665,-6.99
NSBC,NSIA BANQUE COTE D'IVOIRE,189,4245,4245,4250,0.12
NTLC,NESTLE COTE D'IVOIRE,634,7100,6840,7200,-2.57
ONTBF,ONATEL BURKINA FASO,45,3300,3295,3250,-1.52
ORGT,ORAGROUP TOGO,613,2850,2800,2800,-1.75
PALC,PALM COTE D'IVOIRE,182,9515,9515,9580,-1.74
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,30,3000,3000,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,0,890,0,890,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,601,905,905,900,-0.55
SDCC,SODE COTE D'IVOIRE,50,4650,4505,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,9035,1240,1240,1240,3.33
SEMC,CROWN SIEM COTE D'IVOIRE,15,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11600,0,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,190,710,700,700,-1.41
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,219,4395,4270,4395,2.93
SICC,SICOR COTE D'IVOIRE,2,6200,6200,6200,-6.98
SIVC,AIR LIQUIDE COTE D'IVOIRE,634,700,700,700,0.00
SLBC,SOLIBRA COTE D'IVOIRE,6,90000,90000,90000,5.88
SMBC,SMB COTE D'IVOIRE,193,6715,6705,6750,0.52
SNTS,SONATEL SENEGAL,87,14700,14600,14600,-0.68
SOGC,SOGB COTE D'IVOIRE,338,5500,5390,5600,0.00
SPHC,SAPH COTE D'IVOIRE,35,5290,4905,5290,-0.19
STAC,SETAO COTE D'IVOIRE,2,1135,1135,1140,7.04
STBC,SITAB COTE D'IVOIRE,61,5100,5100,5100,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,50,2035,2035,2035,-6.44
TTLS,TOTAL SENEGAL,256,2500,2400,2500,4.17
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,1674,850,805,850,1.80
