symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,27,1400,1400,1400,2.94
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,0,5950,0,5950,0.00
BOABF,BANK OF AFRICA BURKINA FASO,0,5195,0,5195,0.00
BOAC,BANK OF AFRICA COTE D'IVOIRE,570,3595,3595,3600,-2.70
BOAM,BANK OF AFRICA MALI,26,1355,1355,1355,0.00
BOAN,BANK OF AFRICA NIGER,98,5600,5600,5600,0.00
BOAS,BANK OF AFRICA SENEGAL,0,2395,0,2395,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,11,8200,8485,8200,-3.36
CFAC,CFAO MOTORS COTE D'IVOIRE,33,930,925,925,-0.54
CIEC,CIE COTE D'IVOIRE,424,1800,1800,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,5,4695,4650,4650,-0.96
ETIT,Ecobank Transnational Incorporated TOGO,4951,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,31,1185,1200,1200,1.27
NEIC,NEI-CEDA COTE D'IVOIRE,7,710,710,710,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,10,4560,4560,4560,0.00
NTLC,NESTLE COTE D'IVOIRE,0,7300,0,7300,0.00
ONTBF,ONATEL BURKINA FASO,20,3210,3210,3210,0.00
ORGT,ORAGROUP TOGO,0,2800,0,2800,0.00
PALC,PALM COTE D'IVOIRE,44,9750,9750,9750,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,0,3000,0,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,7,890,885,885,-0.56
SCRC,SUCRIVOIRE COTE D'IVOIRE,0,900,0,900,0.00
SDCC,SODE COTE D'IVOIRE,12,4650,4600,4600,-1.08
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,6627,1200,1240,1200,-3.23
SEMC,CROWN SIEM COTE D'IVOIRE,25,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,35,11600,11600,11450,-1.29
SHEC,VIVO ENERGY COTE D'IVOIRE,542,700,710,710,1.43
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,91,4400,4330,4330,-1.59
SICC,SICOR COTE D'IVOIRE,0,6200,0,6200,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,20,750,750,750,7.14
SLBC,SOLIBRA COTE D'IVOIRE,0,90000,0,90000,0.00
SMBC,SMB COTE D'IVOIRE,398,6750,6700,6700,-0.74
SNTS,SONATEL SENEGAL,380,14650,14600,14500,-1.02
SOGC,SOGB COTE D'IVOIRE,0,5685,0,5685,0.00
SPHC,SAPH COTE D'IVOIRE,0,5200,0,5200,0.00
STAC,SETAO COTE D'IVOIRE,3,1140,1145,1145,0.44
STBC,SITAB COTE D'IVOIRE,0,4960,0,4960,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,0,2100,0,2100,0.00
TTLS,TOTAL SENEGAL,0,2405,0,2405,0.00
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,262,850,850,850,6.25
