symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,0,1460,0,1460,0.00
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2050,0,2050,0.00
BOAB,BANK OF AFRICA BENIN,0,5900,0,5900,0.00
BOABF,BANK OF AFRICA BURKINA FASO,0,5145,0,5145,0.00
BOAC,BANK OF AFRICA COTE D'IVOIRE,0,3700,0,3700,0.00
BOAM,BANK OF AFRICA MALI,0,1355,0,1355,0.00
BOAN,BANK OF AFRICA NIGER,0,5500,0,5500,0.00
BOAS,BANK OF AFRICA SENEGAL,0,2400,0,2400,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,0,8500,0,8500,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,0,915,0,915,0.00
CIEC,CIE COTE D'IVOIRE,0,1800,0,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,0,4800,0,4800,0.00
ETIT,Ecobank Transnational Incorporated TOGO,0,19,0,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,0,1185,0,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,0,725,0,725,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,0,4750,0,4750,0.00
NTLC,NESTLE COTE D'IVOIRE,0,7300,0,7300,0.00
ONTBF,ONATEL BURKINA FASO,0,3300,0,3300,0.00
ORGT,ORAGROUP TOGO,0,3010,0,3010,0.00
PALC,PALM COTE D'IVOIRE,0,9885,0,9885,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,0,2940,0,2940,0.00
SAFC,SAFCA COTE D'IVOIRE,0,895,0,895,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,0,910,0,910,0.00
SDCC,SODE COTE D'IVOIRE,0,4750,0,4750,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,0,1300,0,1300,0.00
SEMC,CROWN SIEM COTE D'IVOIRE,0,640,0,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11595,0,11595,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,0,700,0,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,0,4400,0,4400,0.00
SICC,SICOR COTE D'IVOIRE,0,6000,0,6000,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,0,750,0,750,0.00
SLBC,SOLIBRA COTE D'IVOIRE,0,90000,0,90000,0.00
SMBC,SMB COTE D'IVOIRE,0,6610,0,6610,0.00
SNTS,SONATEL SENEGAL,0,14645,0,14645,0.00
SOGC,SOGB COTE D'IVOIRE,0,5685,0,5685,0.00
SPHC,SAPH COTE D'IVOIRE,0,5250,0,5250,0.00
STAC,SETAO COTE D'IVOIRE,0,1220,0,1220,0.00
STBC,SITAB COTE D'IVOIRE,0,5300,0,5300,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,0,2100,0,2100,0.00
TTLS,TOTAL SENEGAL,0,2500,0,2500,0.00
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,0,800,0,800,0.00
