symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,0,1565,0,1565,0.00
BICC,BICI COTE D'IVOIRE,2,6390,6385,6385,-0.08
BNBC,BERNABE COTE D'IVOIRE,0,1990,0,1990,0.00
BOAB,BANK OF AFRICA BENIN,75,6000,5900,5900,-1.67
BOABF,BANK OF AFRICA BURKINA FASO,2052,5250,5285,5150,-1.90
BOAC,BANK OF AFRICA COTE D'IVOIRE,811,3575,3595,3595,0.56
BOAM,BANK OF AFRICA MALI,153,1355,1375,1355,-2.87
BOAN,BANK OF AFRICA NIGER,190,5590,5590,5590,0.00
BOAS,BANK OF AFRICA SENEGAL,706,2465,2430,2420,-1.83
CABC,SICABLE COTE D'IVOIRE,0,1155,0,1155,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,70,8500,8500,8495,-2.19
CFAC,CFAO MOTORS COTE D'IVOIRE,1575,925,925,925,0.00
CIEC,CIE COTE D'IVOIRE,151,2050,2000,2050,2.50
ECOC,ECOBANK COTE D'IVOIRE,86,4790,4705,4750,-0.84
ETIT,Ecobank Transnational Incorporated TOGO,605825,19,19,19,-5.00
FTSC,FILTISAC COTE D'IVOIRE,925,1200,1200,1195,-0.42
NEIC,NEI-CEDA COTE D'IVOIRE,10,720,720,720,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,556,4550,4500,4500,-1.10
NTLC,NESTLE COTE D'IVOIRE,42,6300,6200,6200,-1.59
ONTBF,ONATEL BURKINA FASO,2124,3260,3260,3250,-0.31
ORGT,ORAGROUP TOGO,348,3100,3000,3100,0.00
PALC,PALM COTE D'IVOIRE,4554,9800,9725,9700,-1.02
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,177,3200,3200,3200,0.00
SAFC,SAFCA COTE D'IVOIRE,0,900,0,900,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,11,1030,1045,1045,1.46
SDCC,SODE COTE D'IVOIRE,140,4700,4700,4700,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,4457,1250,1250,1250,-3.47
SEMC,CROWN SIEM COTE D'IVOIRE,0,650,0,650,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,118,11700,11700,11700,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,191,770,780,780,1.30
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,4156,4500,4410,4500,0.00
SICC,SICOR COTE D'IVOIRE,0,6740,0,6740,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,278,745,745,745,-5.10
SLBC,SOLIBRA COTE D'IVOIRE,2,88000,88000,88000,0.00
SMBC,SMB COTE D'IVOIRE,1295,6850,6800,6795,-0.80
SNTS,SONATEL SENEGAL,545,14800,14695,14695,-0.71
SOGC,SOGB COTE D'IVOIRE,2052,5600,5600,5680,1.43
SPHC,SAPH COTE D'IVOIRE,1048,5395,5370,5400,0.09
STAC,SETAO COTE D'IVOIRE,0,995,0,995,0.00
STBC,SITAB COTE D'IVOIRE,254,5105,5100,5100,-0.10
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,20,2150,2195,2145,-2.28
TTLS,TOTAL SENEGAL,3492,2375,2350,2350,-1.05
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,1375,995,950,1000,5.26
