symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,14,1365,1360,1360,-0.37
BICC,BICI COTE D'IVOIRE,66,6380,5910,6380,-0.08
BNBC,BERNABE COTE D'IVOIRE,0,2100,0,2100,0.00
BOAB,BANK OF AFRICA BENIN,2365,5950,5700,5950,4.39
BOABF,BANK OF AFRICA BURKINA FASO,1608,5195,5200,5195,-0.10
BOAC,BANK OF AFRICA COTE D'IVOIRE,1128,3655,3700,3700,1.23
BOAM,BANK OF AFRICA MALI,956,1355,1360,1355,0.00
BOAN,BANK OF AFRICA NIGER,65,5590,5500,5600,0.18
BOAS,BANK OF AFRICA SENEGAL,246,2395,2395,2395,0.00
CABC,SICABLE COTE D'IVOIRE,11,1150,1000,1150,6.98
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,90,8485,8200,8485,3.48
CFAC,CFAO MOTORS COTE D'IVOIRE,445,945,945,930,0.54
CIEC,CIE COTE D'IVOIRE,881,1800,1800,1800,4.96
ECOC,ECOBANK COTE D'IVOIRE,272,4695,4600,4695,-0.11
ETIT,Ecobank Transnational Incorporated TOGO,32335,19,18,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,411,1185,1080,1185,7.24
NEIC,NEI-CEDA COTE D'IVOIRE,1039,710,665,710,-0.70
NSBC,NSIA BANQUE COTE D'IVOIRE,190,4560,4245,4560,7.42
NTLC,NESTLE COTE D'IVOIRE,1250,7275,6840,7300,-1.22
ONTBF,ONATEL BURKINA FASO,557,3210,3295,3210,-2.73
ORGT,ORAGROUP TOGO,1213,2850,2800,2800,-1.75
PALC,PALM COTE D'IVOIRE,2279,9750,9515,9750,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,30,3000,3000,3000,0.00
SAFC,SAFCA COTE D'IVOIRE,0,890,0,890,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,606,905,905,900,-0.55
SDCC,SODE COTE D'IVOIRE,50,4650,4505,4650,0.00
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,12525,1240,1240,1240,3.33
SEMC,CROWN SIEM COTE D'IVOIRE,142,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11600,0,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,212,710,700,700,-1.41
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,599,4395,4270,4400,3.04
SICC,SICOR COTE D'IVOIRE,2,6200,6200,6200,-6.98
SIVC,AIR LIQUIDE COTE D'IVOIRE,728,700,700,700,0.00
SLBC,SOLIBRA COTE D'IVOIRE,6,90000,90000,90000,5.88
SMBC,SMB COTE D'IVOIRE,309,6715,6705,6750,0.52
SNTS,SONATEL SENEGAL,755,14595,14600,14650,-0.34
SOGC,SOGB COTE D'IVOIRE,428,5685,5390,5685,1.52
SPHC,SAPH COTE D'IVOIRE,399,5290,4905,5200,-1.89
STAC,SETAO COTE D'IVOIRE,2,1135,1135,1140,7.04
STBC,SITAB COTE D'IVOIRE,156,4960,5100,4960,-2.75
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,311,2100,2035,2100,-3.45
TTLS,TOTAL SENEGAL,276,2405,2400,2405,0.21
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,0,7030,0,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,3859,810,805,800,-4.19
