symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,0,1360,0,1360,0.00
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2050,0,2050,0.00
BOAB,BANK OF AFRICA BENIN,100,5875,5610,5875,-0.09
BOABF,BANK OF AFRICA BURKINA FASO,50,5015,5100,5100,-1.83
BOAC,BANK OF AFRICA COTE D'IVOIRE,995,3600,3695,3600,-2.57
BOAM,BANK OF AFRICA MALI,205,1350,1350,1350,-3.57
BOAN,BANK OF AFRICA NIGER,161,5500,5500,5500,0.00
BOAS,BANK OF AFRICA SENEGAL,10,2400,2300,2400,0.00
CABC,SICABLE COTE D'IVOIRE,160,1150,1140,1155,0.43
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,100,8450,8450,8450,0.00
CFAC,CFAO MOTORS COTE D'IVOIRE,200,920,920,925,0.54
CIEC,CIE COTE D'IVOIRE,425,1940,1940,1940,4.86
ECOC,ECOBANK COTE D'IVOIRE,300,4800,4795,4800,0.00
ETIT,Ecobank Transnational Incorporated TOGO,65037,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,0,1200,0,1200,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,0,725,0,725,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,72,4500,4400,4500,2.27
NTLC,NESTLE COTE D'IVOIRE,179,7900,6940,7900,5.33
ONTBF,ONATEL BURKINA FASO,130,3225,3225,3225,0.00
ORGT,ORAGROUP TOGO,1020,3000,3050,3000,-2.28
PALC,PALM COTE D'IVOIRE,184,9885,9850,9885,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,200,3180,3000,3180,6.00
SAFC,SAFCA COTE D'IVOIRE,0,895,0,895,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,642,975,975,960,1.05
SDCC,SODE COTE D'IVOIRE,35,4750,4750,4700,-1.05
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,20,1205,1205,1205,-3.21
SEMC,CROWN SIEM COTE D'IVOIRE,0,640,0,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,0,11600,0,11600,0.00
SHEC,VIVO ENERGY COTE D'IVOIRE,413,675,700,675,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,1305,4255,4455,4255,-4.49
SICC,SICOR COTE D'IVOIRE,35,6000,6000,6000,-3.23
SIVC,AIR LIQUIDE COTE D'IVOIRE,15,750,740,740,-1.33
SLBC,SOLIBRA COTE D'IVOIRE,0,89000,0,89000,0.00
SMBC,SMB COTE D'IVOIRE,100,6700,6695,6700,0.00
SNTS,SONATEL SENEGAL,13840,14650,14645,14600,-0.34
SOGC,SOGB COTE D'IVOIRE,0,5700,0,5700,0.00
SPHC,SAPH COTE D'IVOIRE,0,5250,0,5250,0.00
STAC,SETAO COTE D'IVOIRE,0,1220,0,1220,0.00
STBC,SITAB COTE D'IVOIRE,0,5275,0,5275,0.00
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,1000,1945,1945,1945,-7.38
TTLS,TOTAL SENEGAL,6,2495,2495,2495,0.00
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,10,7030,7030,7030,0.00
UNXC,UNIWAX COTE D'IVOIRE,140,785,785,785,0.00
