symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,58,1460,1460,1460,0.00
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2050,0,2050,0.00
BOAB,BANK OF AFRICA BENIN,25,5900,5900,5900,0.00
BOABF,BANK OF AFRICA BURKINA FASO,87,5145,5100,5145,0.00
BOAC,BANK OF AFRICA COTE D'IVOIRE,1584,3695,3695,3690,-0.27
BOAM,BANK OF AFRICA MALI,51,1400,1355,1400,3.32
BOAN,BANK OF AFRICA NIGER,624,5550,5695,5550,0.91
BOAS,BANK OF AFRICA SENEGAL,2,2400,2400,2400,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,392,8115,8450,8050,-5.29
CFAC,CFAO MOTORS COTE D'IVOIRE,87,915,920,920,0.55
CIEC,CIE COTE D'IVOIRE,1505,1800,1800,1800,0.00
ECOC,ECOBANK COTE D'IVOIRE,4453,4700,4605,4700,-2.08
ETIT,Ecobank Transnational Incorporated TOGO,15735,18,19,18,-5.26
FTSC,FILTISAC COTE D'IVOIRE,0,1185,0,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,0,725,0,725,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,188,4750,4450,4750,0.00
NTLC,NESTLE COTE D'IVOIRE,0,7300,0,7300,0.00
ONTBF,ONATEL BURKINA FASO,162,3230,3300,3230,-2.12
ORGT,ORAGROUP TOGO,608,3130,3130,3070,1.99
PALC,PALM COTE D'IVOIRE,3976,9705,9800,9705,-1.82
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,21,3000,2940,3000,2.04
SAFC,SAFCA COTE D'IVOIRE,0,895,0,895,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,1000,950,950,950,4.40
SDCC,SODE COTE D'IVOIRE,99,4750,4750,4700,-1.05
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,1087,1245,1270,1245,-4.23
SEMC,CROWN SIEM COTE D'IVOIRE,1000,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,769,11595,11595,11600,0.04
SHEC,VIVO ENERGY COTE D'IVOIRE,4,700,700,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,6484,4400,4395,4455,1.25
SICC,SICOR COTE D'IVOIRE,0,6000,0,6000,0.00
SIVC,AIR LIQUIDE COTE D'IVOIRE,0,750,0,750,0.00
SLBC,SOLIBRA COTE D'IVOIRE,364,89000,87120,89000,-1.11
SMBC,SMB COTE D'IVOIRE,260,6610,6700,6700,1.36
SNTS,SONATEL SENEGAL,674,14645,14600,14645,0.00
SOGC,SOGB COTE D'IVOIRE,3328,5685,5700,5700,0.26
SPHC,SAPH COTE D'IVOIRE,0,5250,0,5250,0.00
STAC,SETAO COTE D'IVOIRE,3,1220,1220,1220,0.00
STBC,SITAB COTE D'IVOIRE,100,4960,4960,4960,-6.42
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,14,2100,2100,2100,0.00
TTLS,TOTAL SENEGAL,5082,2325,2325,2355,-5.80
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,46,7030,7105,7100,1.00
UNXC,UNIWAX COTE D'IVOIRE,1362,800,800,800,0.00
