symbol,name,volume,previousPrice,openingPrice,closingPrice,change
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,58,1460,1460,1460,0.00
BICC,BICI COTE D'IVOIRE,0,6380,0,6380,0.00
BNBC,BERNABE COTE D'IVOIRE,0,2050,0,2050,0.00
BOAB,BANK OF AFRICA BENIN,25,5900,5900,5900,0.00
BOABF,BANK OF AFRICA BURKINA FASO,176,5145,5100,5195,0.97
BOAC,BANK OF AFRICA COTE D'IVOIRE,1599,3695,3695,3695,-0.14
BOAM,BANK OF AFRICA MALI,51,1400,1355,1400,3.32
BOAN,BANK OF AFRICA NIGER,624,5550,5695,5550,0.91
BOAS,BANK OF AFRICA SENEGAL,2,2400,2400,2400,0.00
CABC,SICABLE COTE D'IVOIRE,0,1150,0,1150,0.00
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,394,8450,8450,8450,-0.59
CFAC,CFAO MOTORS COTE D'IVOIRE,109,915,920,920,0.55
CIEC,CIE COTE D'IVOIRE,1875,1850,1800,1850,2.78
ECOC,ECOBANK COTE D'IVOIRE,4453,4700,4605,4700,-2.08
ETIT,Ecobank Transnational Incorporated TOGO,16245,19,19,19,0.00
FTSC,FILTISAC COTE D'IVOIRE,0,1185,0,1185,0.00
NEIC,NEI-CEDA COTE D'IVOIRE,0,725,0,725,0.00
NSBC,NSIA BANQUE COTE D'IVOIRE,188,4750,4450,4750,0.00
NTLC,NESTLE COTE D'IVOIRE,337,7390,7390,7390,1.23
ONTBF,ONATEL BURKINA FASO,166,3230,3300,3225,-2.27
ORGT,ORAGROUP TOGO,1100,3000,3130,3000,-0.33
PALC,PALM COTE D'IVOIRE,5165,9705,9800,9885,0.00
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,21,3000,2940,3000,2.04
SAFC,SAFCA COTE D'IVOIRE,0,895,0,895,0.00
SCRC,SUCRIVOIRE COTE D'IVOIRE,1000,950,950,950,4.40
SDCC,SODE COTE D'IVOIRE,1864,4600,4750,4600,-3.16
SDSC,BOLLORE TRANSPORT & LOGISTICS COTE D'IVOIRE,1097,1245,1270,1245,-4.23
SEMC,CROWN SIEM COTE D'IVOIRE,1000,640,640,640,0.00
SGBC,SOCIETE GENERALE COTE D'IVOIRE,769,11595,11595,11600,0.04
SHEC,VIVO ENERGY COTE D'IVOIRE,4,700,700,700,0.00
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,6739,4400,4395,4450,1.14
SICC,SICOR COTE D'IVOIRE,1,6200,6200,6200,3.33
SIVC,AIR LIQUIDE COTE D'IVOIRE,0,750,0,750,0.00
SLBC,SOLIBRA COTE D'IVOIRE,364,89000,87120,89000,-1.11
SMBC,SMB COTE D'IVOIRE,260,6610,6700,6700,1.36
SNTS,SONATEL SENEGAL,7959,14645,14600,14650,0.03
SOGC,SOGB COTE D'IVOIRE,3328,5685,5700,5700,0.26
SPHC,SAPH COTE D'IVOIRE,0,5250,0,5250,0.00
STAC,SETAO COTE D'IVOIRE,3,1220,1220,1220,0.00
STBC,SITAB COTE D'IVOIRE,140,5275,4960,5275,-0.47
SVOC,MOVIS COTE D'IVOIRE,0,2395,0,2395,0.00
TTLC,TOTAL COTE D'IVOIRE,14,2100,2100,2100,0.00
TTLS,TOTAL SENEGAL,5332,2355,2325,2355,-5.80
TTRC,TRITURAF Ste en Liquid,0,490,0,490,0.00
UNLC,UNILEVER COTE D'IVOIRE,46,7030,7105,7100,1.00
UNXC,UNIWAX COTE D'IVOIRE,1362,800,800,800,0.00
